28112023 	 16:29:42 	 ae313c51-4d6e-4380-bf1a-a26d754d14e8 	 GET 	 undefined 	 /b
28112023 	 16:29:42 	 16b5a862-2cbd-4258-a0cc-92ff9699aa25 	 GET 	 undefined 	 /css/style.css
28112023 	 16:29:50 	 f8468896-5e57-47aa-8cd5-fb0c3a5ef1fc 	 GET 	 undefined 	 /subdir/index
28112023 	 16:29:50 	 807b0350-e0fc-4922-bdf3-58a249cd20e0 	 GET 	 undefined 	 /subdir/css/style.css
28112023 	 16:29:52 	 a97f153a-730f-46ea-b049-d6af6bd20bef 	 GET 	 undefined 	 /subdir
28112023 	 16:29:52 	 59a095ef-415e-49ba-871d-9e25ab95d3ec 	 GET 	 undefined 	 /css/style.css
28112023 	 16:29:57 	 5872f4f7-57ad-4197-8992-275aff033ea4 	 GET 	 undefined 	 /subdir/index
28112023 	 16:29:57 	 074d5b4b-8309-4525-ae25-8c0c364d0e17 	 GET 	 undefined 	 /subdir/css/style.css
28112023 	 16:30:00 	 6922f8e9-d3ea-4158-b56d-e936ddffddde 	 GET 	 undefined 	 /subdir/index.html
28112023 	 16:30:00 	 b78df3d9-233c-4059-b9fb-1cbf93bf239a 	 GET 	 undefined 	 /subdir/css/style.css
28112023 	 16:33:18 	 3435270e-d7f5-4ff6-8e8f-97b2a636597e 	 GET 	 undefined 	 /subdir/index.html
28112023 	 16:33:18 	 595c062e-2f39-4fa5-a2df-3d5f4d4727fe 	 GET 	 undefined 	 /subdir/css/style.css
28112023 	 16:33:19 	 649cb728-b69b-4526-bd5b-9788d175e012 	 GET 	 undefined 	 /subdir/index.html
28112023 	 16:33:19 	 3d124f52-3197-4007-866c-f3ad6bb421f9 	 GET 	 undefined 	 /subdir/css/style.css
28112023 	 16:33:19 	 373a5521-f536-4efd-b6c0-008ada1a8878 	 GET 	 undefined 	 /subdir/index.html
28112023 	 16:33:19 	 c43e6b14-71b2-4854-a5ef-b42c4bf4cd14 	 GET 	 undefined 	 /subdir/css/style.css
28112023 	 16:36:26 	 d9f350f2-fa67-4cb7-a7ef-8f517bcc9d72 	 GET 	 undefined 	 /subdir/index.html
28112023 	 16:36:26 	 5293aad6-547a-4e1d-93cd-ba3884b03850 	 GET 	 undefined 	 /subdir/css/style.css
28112023 	 16:37:44 	 50503250-0e2f-4f41-9353-4f639ec8b10f 	 GET 	 undefined 	 /subdir/css/style.css
28112023 	 16:37:45 	 ef5d7952-62f4-4f4a-abd9-6b4d85cd434f 	 GET 	 undefined 	 /subdir/css/style.css
28112023 	 16:40:21 	 c648bc97-3b65-4e6a-bc57-ca75eab6267e 	 GET 	 undefined 	 /subdir/css/style.css
28112023 	 16:40:27 	 5c971eb7-4123-4200-93e8-1de7a21498a0 	 GET 	 undefined 	 /
28112023 	 16:40:27 	 98cb5449-d23f-4f07-bfab-de3afcd690ae 	 GET 	 undefined 	 /
28112023 	 16:40:27 	 2c28cff4-da4d-4621-af06-9ec43e9eb9ff 	 GET 	 undefined 	 /css/style.css
28112023 	 16:42:54 	 9ef35663-2ce3-4bf5-bb37-5fbba21eec1d 	 GET 	 undefined 	 /css/style.css
28112023 	 16:43:04 	 65c55e2d-af0a-469f-afff-67d99868be52 	 GET 	 undefined 	 /css/style.css
28112023 	 16:43:07 	 cfa801f8-1ea2-4c81-9fec-ee0156a63452 	 GET 	 undefined 	 /ind
28112023 	 16:43:07 	 98aa62d5-87d4-4ebb-a2be-713903c788b3 	 GET 	 undefined 	 /css/style.css
28112023 	 16:43:15 	 2f7e4b45-238d-467e-8320-407cacb91dd9 	 GET 	 undefined 	 /subdir/inde
28112023 	 16:43:15 	 ca419867-9f13-4a04-b9ad-a1eb96142206 	 GET 	 undefined 	 /css/style.css
28112023 	 16:47:16 	 5b5c883a-7d92-4353-b4e8-eb3e718455cf 	 GET 	 undefined 	 /css/style.css
28112023 	 16:47:22 	 5dc6c4dd-16b4-4aaa-b9ca-71b6f0dcc187 	 GET 	 undefined 	 /css/style.css
28112023 	 16:47:27 	 a16cf278-5e80-4960-a498-3d17e5f6f4ef 	 GET 	 undefined 	 /css/style.css
28112023 	 16:47:27 	 71147514-6b1e-4116-ad6f-468f9bae60c5 	 GET 	 undefined 	 /img/img1.jpg
28112023 	 16:47:30 	 e8ecce1a-7959-4c1d-8169-764663989d1b 	 GET 	 undefined 	 /css/style.css
28112023 	 16:47:30 	 26b67eef-efeb-49ff-9b77-7e04115b5c74 	 GET 	 undefined 	 /img/img1.jpg
28112023 	 16:47:43 	 c57e65e0-9a9d-48ff-8382-02679090d044 	 GET 	 undefined 	 /subdir/css/style.css
28112023 	 16:49:54 	 fb6adf64-ec64-45e7-8b9d-60a77f25c7d8 	 GET 	 undefined 	 /subdir/css/style.css
28112023 	 16:54:12 	 4d3099d5-0e72-48a1-bc39-bd6701c3b582 	 GET 	 undefined 	 /subdir/newpage
28112023 	 16:54:12 	 ec0407e1-7a82-4826-9248-1a7e578e3d50 	 GET 	 undefined 	 /css/style.css
28112023 	 16:54:22 	 afa592f6-b922-4965-8dc0-f75e277590bb 	 GET 	 undefined 	 /test
28112023 	 16:54:22 	 3b77a4da-9812-4a57-8421-9f25be1ea4b1 	 GET 	 undefined 	 /css/style.css
